,1KB,2KB,4KB,8KB,16KB,32KB,64KB,128KB,256KB,512KB,1MB
fully,1.60475,2.28277,3.48696,4.43068,6.79539,9.61315,10.7886,14.2919,16.7307,21.7414,31.6529
1way(s),0.867411,0.874183,0.998271,1.04682,0.908249,0.942724,0.903922,0.924227,0.930475,0.9794,0.961735
2way(s),0.886956,0.880065,0.890487,0.983986,0.924028,0.949641,0.931385,0.925517,0.906546,0.896813,0.917924
4way(s),0.902225,0.911261,0.90478,0.973524,0.955977,0.926812,0.961763,0.961654,0.926152,0.944098,0.903535
8way(s),0.970518,0.997814,0.976402,1.05941,0.958731,0.990383,0.979658,0.957521,0.981698,0.968209,0.952702
16way(s),1.038,1.04864,1.0225,1.07277,1.0405,1.00503,1.0481,1.04179,1.05593,1.00458,1.02465
32way(s),1.1377,1.11223,1.16398,1.15353,1.1539,1.15932,1.23765,1.17136,1.20796,1.18021,1.15035
64way(s),1.35159,1.49171,1.569,1.38362,1.36306,1.32938,1.9452,1.5505,1.3122,1.57863,1.52897
128way(s),1.98233,1.92985,1.68388,1.71672,2.67327,2.59047,1.85064,1.87152,1.58681,2.54372,1.70292
256way(s),2.37607,2.4723,2.36781,2.4036,2.37227,2.35225,2.29781,2.24126,2.2798,2.36832,2.43159
